Nome da Corretora,Endereço,Latitude,Longitude
Alpha Investimentos,Rua das Flores, 123,-23.560450,-46.643650
Beta Corretora,Av. dos Bandeirantes, 456,-23.600812,-46.696721
Gama Investimentos,Rua das Palmeiras, 789,-23.550203,-46.667881
Delta Corretora,Av. Paulista, 987,-23.561800,-46.657480
Épsilon Investimentos,Rua dos Pinheiros, 321,-23.569920,-46.686350
Zeta Corretora,Av. Brigadeiro Faria Lima, 654,-23.595103,-46.684209
Eta Investimentos,Rua da Consolação, 987,-23.557611,-46.661405
Theta Corretora,Av. Juscelino Kubitschek, 741,-23.583219,-46.689731
Iota Investimentos,Rua Augusta, 789,-23.553350,-46.652111
Kappa Corretora,Av. Ibirapuera, 1234,-23.602042,-46.675081
